county,precinct,office,district,party,candidate,votes,election_day,provisional,absentee,mail_in
PHILADELPHIA,01-05,Registered Voters,,REP,Registered Voters,44,,,,
PHILADELPHIA,01-05,Ballots Cast,,,Ballots Cast,135,52,1,11,71
PHILADELPHIA,01-05,Ballots Cast,,DEM,Ballots Cast,121,43,1,11,66
PHILADELPHIA,01-05,Ballots Cast,,NPA,Ballots Cast,5,2,0,0,3
PHILADELPHIA,01-05,Ballots Cast,,REP,Ballots Cast,9,7,0,0,2
PHILADELPHIA,01-05,President,,DEM,BERNIE SANDERS,53,17,0,4,32
PHILADELPHIA,01-05,President,,DEM,Joseph R. Biden,62,22,1,7,32
PHILADELPHIA,01-05,President,,DEM,TULSI GABBARD,2,1,0,0,1
PHILADELPHIA,01-05,President,,DEM,Write-ins,1,1,0,0,0
PHILADELPHIA,01-05,President,,REP,BILL WELD,1,0,0,0,1
PHILADELPHIA,01-05,President,,REP,Donald J. Trump,6,6,0,0,0
PHILADELPHIA,01-05,President,,REP,ROQUE ROCKY DE LA FUENTE,0,0,0,0,0
PHILADELPHIA,01-05,President,,REP,Write-ins,1,0,0,0,1
PHILADELPHIA,01-05,Attorney General,,DEM,JOSH SHAPIRO,98,28,1,11,58
PHILADELPHIA,01-05,Attorney General,,DEM,Write-ins,1,0,0,0,1
PHILADELPHIA,01-05,Attorney General,,REP,HEATHER HEIDELBAUGH,5,4,0,0,1
PHILADELPHIA,01-05,Attorney General,,REP,Write-ins,0,0,0,0,0
PHILADELPHIA,01-05,Auditor General,,DEM,CHRISTINA M HARTMAN,1,1,0,0,0
PHILADELPHIA,01-05,Auditor General,,DEM,H SCOTT CONKLIN,2,0,0,0,2
PHILADELPHIA,01-05,Auditor General,,DEM,MICHAEL LAMB,5,3,0,0,2
PHILADELPHIA,01-05,Auditor General,,DEM,NINA AHMAD,91,26,1,11,53
PHILADELPHIA,01-05,Auditor General,,DEM,ROSE ROSIE MARIE DAVIS,4,4,0,0,0
PHILADELPHIA,01-05,Auditor General,,DEM,TRACIE FOUNTAIN,9,3,0,0,6
PHILADELPHIA,01-05,Auditor General,,DEM,Write-ins,0,0,0,0,0
PHILADELPHIA,01-05,Auditor General,,REP,TIMOTHY DEFOOR,5,4,0,0,1
PHILADELPHIA,01-05,Auditor General,,REP,Write-ins,1,0,0,0,1
PHILADELPHIA,01-05,State Treasurer,,DEM,JOE TORSELLA,97,28,1,11,57
PHILADELPHIA,01-05,State Treasurer,,DEM,Write-ins,0,0,0,0,0
PHILADELPHIA,01-05,State Treasurer,,REP,STACY L GARRITY,6,5,0,0,1
PHILADELPHIA,01-05,State Treasurer,,REP,Write-ins,0,0,0,0,0
PHILADELPHIA,01-05,U.S. House,3,DEM,DWIGHT EVANS,97,25,1,11,60
PHILADELPHIA,01-05,U.S. House,3,REP,MICHAEL HARVEY,5,4,0,0,1
PHILADELPHIA,01-05,State Senate,1,DEM,LARRY FARNESE,30,14,0,1,15
PHILADELPHIA,01-05,State Senate,1,DEM,NIKIL SAVAL,83,24,0,10,49
PHILADELPHIA,01-05,General Assembly,184,DEM,ELIZABETH FIEDLER,106,33,0,10,63
PHILADELPHIA,01-05,General Assembly,184,DEM,Write-ins,1,0,0,1,0
PHILADELPHIA,01-05,General Assembly,184,REP,LOU MENNA IV,5,4,0,0,1
PHILADELPHIA,01-06,Registered Voters,,,Registered Voters,558,,,,
PHILADELPHIA,01-06,Registered Voters,,DEM,Registered Voters,449,,,,
PHILADELPHIA,01-06,Registered Voters,,NPA,Registered Voters,59,,,,
PHILADELPHIA,01-06,Registered Voters,,REP,Registered Voters,50,,,,
PHILADELPHIA,01-06,Ballots Cast,,,Ballots Cast,207,61,0,22,124
PHILADELPHIA,01-06,Ballots Cast,,DEM,Ballots Cast,191,52,0,21,118
PHILADELPHIA,01-06,Ballots Cast,,NPA,Ballots Cast,10,4,0,1,5
PHILADELPHIA,01-06,Ballots Cast,,REP,Ballots Cast,6,5,0,0,1
PHILADELPHIA,01-06,President,,DEM,BERNIE SANDERS,92,19,0,8,65
PHILADELPHIA,01-06,President,,DEM,Joseph R. Biden,92,29,0,11,52
PHILADELPHIA,01-06,President,,DEM,TULSI GABBARD,1,0,0,1,0
PHILADELPHIA,01-06,President,,DEM,Write-ins,0,0,0,0,0
PHILADELPHIA,01-06,President,,REP,BILL WELD,1,1,0,0,0
PHILADELPHIA,01-06,President,,REP,Donald J. Trump,4,3,0,0,1
PHILADELPHIA,01-06,President,,REP,ROQUE ROCKY DE LA FUENTE,0,0,0,0,0
PHILADELPHIA,01-06,President,,REP,Write-ins,0,0,0,0,0
PHILADELPHIA,01-06,Attorney General,,DEM,JOSH SHAPIRO,150,39,0,18,93
PHILADELPHIA,01-06,Attorney General,,DEM,Write-ins,4,0,0,0,4
PHILADELPHIA,01-06,Attorney General,,REP,HEATHER HEIDELBAUGH,4,3,0,0,1
PHILADELPHIA,01-06,Attorney General,,REP,Write-ins,0,0,0,0,0
PHILADELPHIA,01-06,Auditor General,,DEM,CHRISTINA M HARTMAN,7,2,0,3,2
PHILADELPHIA,01-06,Auditor General,,DEM,H SCOTT CONKLIN,4,2,0,0,2
PHILADELPHIA,01-06,Auditor General,,DEM,MICHAEL LAMB,10,3,0,0,7
PHILADELPHIA,01-06,Auditor General,,DEM,NINA AHMAD,134,32,0,11,91
PHILADELPHIA,01-06,Auditor General,,DEM,ROSE ROSIE MARIE DAVIS,7,5,0,1,1
PHILADELPHIA,01-06,Auditor General,,DEM,TRACIE FOUNTAIN,10,2,0,3,5
PHILADELPHIA,01-06,Auditor General,,DEM,Write-ins,0,0,0,0,0
PHILADELPHIA,01-06,Auditor General,,REP,TIMOTHY DEFOOR,4,3,0,0,1
PHILADELPHIA,01-06,Auditor General,,REP,Write-ins,0,0,0,0,0
PHILADELPHIA,01-06,State Treasurer,,DEM,JOE TORSELLA,146,37,0,17,92
PHILADELPHIA,01-06,State Treasurer,,DEM,Write-ins,1,1,0,0,0
PHILADELPHIA,01-06,State Treasurer,,REP,STACY L GARRITY,4,3,0,0,1
PHILADELPHIA,01-06,State Treasurer,,REP,Write-ins,0,0,0,0,0
PHILADELPHIA,01-06,U.S. House,3,DEM,DWIGHT EVANS,148,34,0,19,95
PHILADELPHIA,01-06,U.S. House,3,REP,MICHAEL HARVEY,5,4,0,0,1
PHILADELPHIA,01-06,State Senate,1,DEM,LARRY FARNESE,44,11,0,7,26
PHILADELPHIA,01-06,State Senate,1,DEM,NIKIL SAVAL,132,39,0,13,80
PHILADELPHIA,01-06,General Assembly,184,DEM,ELIZABETH FIEDLER,174,46,0,19,109
PHILADELPHIA,01-06,General Assembly,184,DEM,Write-ins,1,0,0,1,0
PHILADELPHIA,01-06,General Assembly,184,REP,LOU MENNA IV,5,4,0,0,1
PHILADELPHIA,01-07,Registered Voters,,,Registered Voters,500,,,,
PHILADELPHIA,01-07,Registered Voters,,DEM,Registered Voters,382,,,,
PHILADELPHIA,01-07,Registered Voters,,GRN,Registered Voters,2,,,,
PHILADELPHIA,01-07,Registered Voters,,LIB,Registered Voters,3,,,,
PHILADELPHIA,01-07,Registered Voters,,NPA,Registered Voters,65,,,,
PHILADELPHIA,01-07,Registered Voters,,REP,Registered Voters,48,,,,
PHILADELPHIA,01-07,Ballots Cast,,,Ballots Cast,172,63,0,16,93
PHILADELPHIA,01-07,Ballots Cast,,DEM,Ballots Cast,154,54,0,14,86
PHILADELPHIA,01-07,Ballots Cast,,NPA,Ballots Cast,4,1,0,1,2
PHILADELPHIA,01-07,Ballots Cast,,REP,Ballots Cast,14,8,0,1,5
PHILADELPHIA,01-07,President,,DEM,BERNIE SANDERS,69,19,0,7,43
PHILADELPHIA,01-07,President,,DEM,Joseph R. Biden,78,31,0,7,40
PHILADELPHIA,01-07,President,,DEM,TULSI GABBARD,3,3,0,0,0
PHILADELPHIA,01-07,President,,DEM,Write-ins,2,0,0,0,2
