county,pri_dem_BIDEN,pri_dem_CLINTON,pri_dem_DODD,pri_dem_EDWARDS,pri_dem_GRAVEL,pri_dem_KUCINICH,pri_dem_OBAMA,pri_dem_RICHARDSON,pri_rep_GIULIANI,pri_rep_HUCKABEE,pri_rep_HUNTER,pri_rep_KEYES,pri_rep_MCCAIN,pri_rep_PAUL,pri_rep_ROMNEY,pri_rep_TANCREDO,pri_rep_THOMPSON,gen_dem_OBAMA,gen_ind_BALDWIN,gen_ind_BARR,gen_ind_JAY,gen_ind_MCKINNEY,gen_ind_MOORE,gen_ind_NADER,gen_rep_MCCAIN,rep_primary_total,dem_primary_total,rep_general_total,dem_general_total,ind_general_total
FRANKLIN,25,4087,4,339,6,7,1326,9,21,1160,6,3,1159,114,864,2,109,6613,69,54,8,23,11,115,10539,3441,5834,10539,6613,280
GIBSON,35,3450,20,535,3,8,1702,32,11,1318,2,4,1120,175,573,1,76,7406,89,75,16,27,17,107,13516,3282,5940,13516,7406,331
GILES,14,2530,3,270,4,2,866,9,11,761,2,4,909,148,614,1,127,4614,44,38,8,14,5,64,6902,2584,3732,6902,4614,173
GRAINGER,6,1341,4,130,1,5,249,3,16,875,4,3,921,109,323,0,90,2066,27,26,3,14,6,64,5297,2359,1755,5297,2066,140
GREENE,12,3181,7,264,4,8,1039,13,35,2769,6,11,2593,597,1220,1,209,7110,110,72,18,34,34,141,17151,7470,4547,17151,7110,409
GRUNDY,5,1932,2,122,0,2,159,8,7,349,2,3,179,46,135,0,26,1971,28,21,2,7,2,38,2563,749,2252,2563,1971,98
HAMBLEN,12,3303,5,343,6,4,1094,13,69,2476,4,16,2639,333,1250,0,187,6807,92,99,11,30,11,111,15508,7002,4807,15508,6807,354
HAMILTON,53,16562,19,1175,32,33,19831,24,209,13995,15,52,10734,2672,7607,8,641,64246,441,491,18,81,30,511,81702,36002,37841,81702,64246,1572
HANCOCK,2,240,0,28,0,1,56,2,25,337,3,1,394,88,108,5,60,604,10,6,4,3,0,26,1588,1038,329,1588,604,49
HARDEMAN,15,1516,5,61,2,15,1766,11,15,856,6,6,467,59,200,0,34,5919,24,19,12,9,5,24,5225,1644,3397,5225,5919,93
HARDIN,8,1696,4,109,3,6,311,3,16,1066,4,6,649,47,271,0,56,2794,19,33,14,20,14,64,7077,2118,2145,7077,2794,164
HAWKINS,14,2623,4,269,1,9,650,10,67,2468,6,15,2623,329,893,5,261,5930,89,61,7,22,31,144,14756,6706,3597,14756,5930,354
HAYWOOD,7,768,2,38,0,5,1279,1,12,431,4,1,265,21,101,0,22,4893,11,18,6,4,0,24,3165,858,2102,3165,4893,63
HENDERSON,3,1251,5,82,2,2,442,7,47,1047,4,8,1004,158,294,4,118,3021,39,41,8,11,5,40,7669,2711,1798,7669,3021,144
HENRY,17,2706,2,274,2,10,1005,8,18,812,3,3,915,183,389,2,88,5153,55,42,10,13,10,80,8182,2420,4053,8182,5153,210
HICKMAN,6,2171,9,121,0,2,446,4,15,512,3,1,447,99,381,2,61,3563,51,31,1,10,2,56,4784,1526,2765,4784,3563,151
HOUSTON,2,1070,4,86,2,0,150,2,8,211,0,1,170,42,75,0,17,1678,23,16,3,2,1,23,1608,524,1319,1608,1678,68
HUMPHREYS,7,2499,5,274,1,3,280,4,11,490,9,1,412,77,205,0,56,3600,42,24,6,15,9,66,3818,1267,3088,3818,3600,162
JACKSON,1,1723,0,71,2,3,212,4,6,292,4,1,215,45,207,0,28,2224,11,16,5,11,5,44,2185,799,2020,2185,2224,92
JEFFERSON,6,2470,2,185,3,4,775,6,43,1831,5,11,2061,233,1009,1,189,5178,55,68,6,17,10,106,13092,5397,3462,13092,5178,262
