county,precinct,office,district,party,candidate,votes
Box Elder,BEAR,President,,Democrat,BERNIE SANDERS,2
Box Elder,BEAR,President,,Democrat,TOM STEYER,0
Box Elder,BEAR,President,,Democrat,ELIZABETH WARREN,0
Box Elder,BEAR,President,,Democrat,MARIANNE WILLIAMSON,0
Box Elder,BEAR,President,,Democrat,TULSI GABBARD,0
Box Elder,BEAR,President,,Democrat,AMY KLOBUCHAR,0
Box Elder,BEAR,President,,Democrat,DEVAL PATRICK,0
Box Elder,BEAR,President,,Democrat,ROQUE DE LA FUENTE,0
Box Elder,BEAR,President,,Republican,ROBERT ARDINI,2
Box Elder,BEAR,President,,Republican,MATTHEW JOHN MATERN,0
Box Elder,BEAR,President,,Republican,BOB ELY,2
Box Elder,BEAR,President,,Republican,JOE WALSH,2
Box Elder,BEAR,President,,Republican,BILL WELD,12
Box Elder,BEAR,President,,Republican,"(ROQUE ""ROCKY"" DE LA FUENTE) WITHDRAWN",0
Box Elder,BEAR,President,,Republican,DONALD J. TRUMP,182
Box Elder,BRE,President,,Democrat,JULIÁN CASTRO,0
Box Elder,BRE,President,,Democrat,ANDREW YANG,0
Box Elder,BRE,President,,Democrat,CORY BOOKER,0
Box Elder,BRE,President,,Democrat,PETE BUTTIGIEG,1
Box Elder,BRE,President,,Democrat,NATHAN BLOXHAM,0
Box Elder,BRE,President,,Democrat,MICHAEL R. BLOOMBERG,2
Box Elder,BRE,President,,Democrat,(MICHAEL BENNETT) WITHDRAWN,0
Box Elder,BRE,President,,Democrat,JOSEPH R. BIDEN,7
Box Elder,BRE,President,,Democrat,BERNIE SANDERS,2
Box Elder,BRE,President,,Democrat,TOM STEYER,0
Box Elder,BRE,President,,Democrat,ELIZABETH WARREN,1
Box Elder,BRE,President,,Democrat,MARIANNE WILLIAMSON,0
Box Elder,BRE,President,,Democrat,TULSI GABBARD,0
Box Elder,BRE,President,,Democrat,AMY KLOBUCHAR,0
Box Elder,BRE,President,,Democrat,DEVAL PATRICK,0
Box Elder,BRE,President,,Democrat,ROQUE DE LA FUENTE,0
Box Elder,BRE,President,,Republican,ROBERT ARDINI,0
Box Elder,BRE,President,,Republican,MATTHEW JOHN MATERN,0
Box Elder,BRE,President,,Republican,BOB ELY,0
Box Elder,BRE,President,,Republican,JOE WALSH,2
Box Elder,BRE,President,,Republican,BILL WELD,3
Box Elder,BRE,President,,Republican,"(ROQUE ""ROCKY"" DE LA FUENTE) WITHDRAWN",0
Box Elder,BRE,President,,Republican,DONALD J. TRUMP,101
Box Elder,BC02,President,,Democrat,JULIÁN CASTRO,0
Box Elder,BC02,President,,Democrat,ANDREW YANG,0
Box Elder,BC02,President,,Democrat,CORY BOOKER,0
Box Elder,BC02,President,,Democrat,PETE BUTTIGIEG,2
Box Elder,BC02,President,,Democrat,NATHAN BLOXHAM,0
Box Elder,BC02,President,,Democrat,MICHAEL R. BLOOMBERG,0
Box Elder,BC02,President,,Democrat,(MICHAEL BENNETT) WITHDRAWN,0
Box Elder,BC02,President,,Democrat,JOSEPH R. BIDEN,8
Box Elder,BC02,President,,Democrat,BERNIE SANDERS,10
Box Elder,BC02,President,,Democrat,TOM STEYER,0
Box Elder,BC02,President,,Democrat,ELIZABETH WARREN,5
Box Elder,BC02,President,,Democrat,MARIANNE WILLIAMSON,0
Box Elder,BC02,President,,Democrat,TULSI GABBARD,1
Box Elder,BC02,President,,Democrat,AMY KLOBUCHAR,1
Box Elder,BC02,President,,Democrat,DEVAL PATRICK,0
Box Elder,BC02,President,,Democrat,ROQUE DE LA FUENTE,0
Box Elder,BC02,President,,Republican,ROBERT ARDINI,1
Box Elder,BC02,President,,Republican,MATTHEW JOHN MATERN,5
Box Elder,BC02,President,,Republican,BOB ELY,0
Box Elder,BC02,President,,Republican,JOE WALSH,6
Box Elder,BC02,President,,Republican,BILL WELD,16
Box Elder,BC02,President,,Republican,"(ROQUE ""ROCKY"" DE LA FUENTE) WITHDRAWN",2
Box Elder,BC02,President,,Republican,DONALD J. TRUMP,176
Box Elder,CC,President,,Democrat,JULIÁN CASTRO,0
Box Elder,CC,President,,Democrat,ANDREW YANG,0
Box Elder,CC,President,,Democrat,CORY BOOKER,0
Box Elder,CC,President,,Democrat,PETE BUTTIGIEG,0
Box Elder,CC,President,,Democrat,NATHAN BLOXHAM,0
Box Elder,CC,President,,Democrat,MICHAEL R. BLOOMBERG,0
Box Elder,CC,President,,Democrat,(MICHAEL BENNETT) WITHDRAWN,0
Box Elder,CC,President,,Democrat,JOSEPH R. BIDEN,0
Box Elder,CC,President,,Democrat,BERNIE SANDERS,0
Box Elder,CC,President,,Democrat,TOM STEYER,0
Box Elder,CC,President,,Democrat,ELIZABETH WARREN,0
Box Elder,CC,President,,Democrat,MARIANNE WILLIAMSON,0
Box Elder,CC,President,,Democrat,TULSI GABBARD,0
Box Elder,CC,President,,Democrat,AMY KLOBUCHAR,0
Box Elder,CC,President,,Democrat,DEVAL PATRICK,0
Box Elder,CC,President,,Democrat,ROQUE DE LA FUENTE,0
Box Elder,CC,President,,Republican,ROBERT ARDINI,0
Box Elder,CC,President,,Republican,MATTHEW JOHN MATERN,0
Box Elder,CC,President,,Republican,BOB ELY,0
Box Elder,CC,President,,Republican,JOE WALSH,0
Box Elder,CC,President,,Republican,BILL WELD,0
Box Elder,CC,President,,Republican,"(ROQUE ""ROCKY"" DE LA FUENTE) WITHDRAWN",0
Box Elder,CC,President,,Republican,DONALD J. TRUMP,8
Box Elder,COR1,President,,Democrat,JULIÁN CASTRO,0
Box Elder,COR1,President,,Democrat,ANDREW YANG,0
Box Elder,COR1,President,,Democrat,CORY BOOKER,0
Box Elder,COR1,President,,Democrat,PETE BUTTIGIEG,5
Box Elder,COR1,President,,Democrat,NATHAN BLOXHAM,0
Box Elder,COR1,President,,Democrat,MICHAEL R. BLOOMBERG,11
Box Elder,COR1,President,,Democrat,(MICHAEL BENNETT) WITHDRAWN,0
Box Elder,COR1,President,,Democrat,JOSEPH R. BIDEN,7
Box Elder,COR1,President,,Democrat,BERNIE SANDERS,7
Box Elder,COR1,President,,Democrat,TOM STEYER,0
Box Elder,COR1,President,,Democrat,ELIZABETH WARREN,3
Box Elder,COR1,President,,Democrat,MARIANNE WILLIAMSON,0
Box Elder,COR1,President,,Democrat,TULSI GABBARD,0
Box Elder,COR1,President,,Democrat,AMY KLOBUCHAR,0
Box Elder,COR1,President,,Democrat,DEVAL PATRICK,0
Box Elder,COR1,President,,Democrat,ROQUE DE LA FUENTE,0
Box Elder,COR1,President,,Republican,ROBERT ARDINI,2
Box Elder,COR1,President,,Republican,MATTHEW JOHN MATERN,5
Box Elder,COR1,President,,Republican,BOB ELY,1
Box Elder,COR1,President,,Republican,JOE WALSH,2
Box Elder,COR1,President,,Republican,BILL WELD,1
Box Elder,COR1,President,,Republican,"(ROQUE ""ROCKY"" DE LA FUENTE) WITHDRAWN",1
Box Elder,COR1,President,,Republican,DONALD J. TRUMP,138
Box Elder,COR2,President,,Democrat,JULIÁN CASTRO,0
Box Elder,COR2,President,,Democrat,ANDREW YANG,0
Box Elder,COR2,President,,Democrat,CORY BOOKER,0
Box Elder,COR2,President,,Democrat,PETE BUTTIGIEG,0
Box Elder,COR2,President,,Democrat,NATHAN BLOXHAM,0
Box Elder,COR2,President,,Democrat,MICHAEL R. BLOOMBERG,3
Box Elder,COR2,President,,Democrat,(MICHAEL BENNETT) WITHDRAWN,0
Box Elder,COR2,President,,Democrat,JOSEPH R. BIDEN,0
Box Elder,COR2,President,,Democrat,BERNIE SANDERS,1
Box Elder,COR2,President,,Democrat,TOM STEYER,0
Box Elder,COR2,President,,Democrat,ELIZABETH WARREN,0
Box Elder,COR2,President,,Democrat,MARIANNE WILLIAMSON,0
Box Elder,COR2,President,,Democrat,TULSI GABBARD,0
Box Elder,COR2,President,,Democrat,AMY KLOBUCHAR,1
Box Elder,COR2,President,,Democrat,DEVAL PATRICK,0
Box Elder,COR2,President,,Democrat,ROQUE DE LA FUENTE,0
Box Elder,COR2,President,,Republican,ROBERT ARDINI,0
Box Elder,COR2,President,,Republican,MATTHEW JOHN MATERN,0
Box Elder,COR2,President,,Republican,BOB ELY,0
Box Elder,COR2,President,,Republican,JOE WALSH,0
Box Elder,COR2,President,,Republican,BILL WELD,2
Box Elder,COR2,President,,Republican,"(ROQUE ""ROCKY"" DE LA FUENTE) WITHDRAWN",0
Box Elder,COR2,President,,Republican,DONALD J. TRUMP,62
Box Elder,DEWY,President,,Democrat,JULIÁN CASTRO,0
Box Elder,DEWY,President,,Democrat,ANDREW YANG,0
Box Elder,DEWY,President,,Democrat,CORY BOOKER,0
Box Elder,DEWY,President,,Democrat,PETE BUTTIGIEG,0
Box Elder,DEWY,President,,Democrat,NATHAN BLOXHAM,0
Box Elder,DEWY,President,,Democrat,MICHAEL R. BLOOMBERG,4
