county,precinct,office,district,party,candidate,votes
Utah,AF09,President,,Republican,UNDERVOTE (CANDIDATE WITHDREW)11,0
Utah,AF09,President,,Republican,DONALD J. TRUMP,231
Utah,AF10,President,,Democrat,JULIÁN CASTRO,1
Utah,AF10,President,,Democrat,ANDREW YANG,0
Utah,AF10,President,,Democrat,CORY BOOKER,0
Utah,AF10,President,,Democrat,PETE BUTTIGIEG,6
Utah,AF10,President,,Democrat,NATHAN BLOXHAM,0
Utah,AF10,President,,Democrat,MICHAEL R. BLOOMBERG,14
Utah,AF10,President,,Democrat,UNDERVOTE (CANDIDATE WITHDREW),0
Utah,AF10,President,,Democrat,JOSEPH R. BIDEN,19
Utah,AF10,President,,Democrat,BERNIE SANDERS,23
Utah,AF10,President,,Democrat,TOM STEYER,0
Utah,AF10,President,,Democrat,ELIZABETH WARREN,23
Utah,AF10,President,,Democrat,MARIANNE WILLIAMSON,0
Utah,AF10,President,,Democrat,TULSI GABBARD,3
Utah,AF10,President,,Democrat,AMY KLOBUCHAR,5
Utah,AF10,President,,Democrat,DEVAL PATRICK,0
Utah,AF10,President,,Democrat,ROQUE DE LA FUENTE,0
Utah,AF10,President,,Republican,ROBERT ARDINI,1
Utah,AF10,President,,Republican,MATTHEW JOHN MATERN,12
Utah,AF10,President,,Republican,BOB ELY,1
Utah,AF10,President,,Republican,JOE WALSH,3
Utah,AF10,President,,Republican,BILL WELD,38
Utah,AF10,President,,Republican,UNDERVOTE (CANDIDATE WITHDREW)11,1
Utah,AF10,President,,Republican,DONALD J. TRUMP,356
Utah,AF10:UN,President,,Democrat,JULIÁN CASTRO,0
Utah,AF10:UN,President,,Democrat,ANDREW YANG,0
Utah,AF10:UN,President,,Democrat,CORY BOOKER,0
Utah,AF10:UN,President,,Democrat,PETE BUTTIGIEG,0
Utah,AF10:UN,President,,Democrat,NATHAN BLOXHAM,0
Utah,AF10:UN,President,,Democrat,MICHAEL R. BLOOMBERG,0
Utah,AF10:UN,President,,Democrat,UNDERVOTE (CANDIDATE WITHDREW),0
Utah,AF10:UN,President,,Democrat,JOSEPH R. BIDEN,2
Utah,AF10:UN,President,,Democrat,BERNIE SANDERS,2
Utah,AF10:UN,President,,Democrat,TOM STEYER,0
Utah,AF10:UN,President,,Democrat,ELIZABETH WARREN,0
Utah,AF10:UN,President,,Democrat,MARIANNE WILLIAMSON,0
Utah,AF10:UN,President,,Democrat,TULSI GABBARD,0
Utah,AF10:UN,President,,Democrat,AMY KLOBUCHAR,0
Utah,AF10:UN,President,,Democrat,DEVAL PATRICK,0
