county,pri_dem_BIDEN,pri_dem_CLINTON,pri_dem_DODD,pri_dem_EDWARDS,pri_dem_GRAVEL,pri_dem_KUCINICH,pri_dem_OBAMA,pri_dem_RICHARDSON,pri_rep_GIULIANI,pri_rep_HUCKABEE,pri_rep_HUNTER,pri_rep_KEYES,pri_rep_MCCAIN,pri_rep_PAUL,pri_rep_ROMNEY,pri_rep_TANCREDO,pri_rep_THOMPSON,gen_dem_OBAMA,gen_rep_MCCAIN,gen_wri_ALLEN,gen_wri_BALDWIN,gen_wri_BARR,gen_wri_BROWN,gen_wri_BYRNE,gen_wri_HARRIS,gen_wri_MCKINNEY,gen_wri_MOORE,gen_wri_NADER,gen_wri_PEROUTKA,rep_primary_total,dem_primary_total,rep_general_total,dem_general_total,wri_general_total
Forsyth,22,4562,8,324,13,13,4550,20,273,9701,16,33,8676,676,10494,8,59,15406,59166,0,69,705,0,0,0,0,0,26,4,29936,9512,59166,15406,804
Franklin,6,1093,2,79,1,4,370,8,6,1193,4,3,712,59,475,0,11,1914,6069,0,2,84,0,0,0,0,0,4,0,2463,1563,6069,1914,90
Fulton,230,35668,69,806,81,200,109581,111,505,12113,32,87,24168,2161,26636,18,130,272000,130136,1,99,2498,0,1,3,68,0,133,2,65850,146746,130136,272000,2805
Gilmer,8,1368,2,86,2,7,587,7,34,1989,1,16,1234,119,874,1,30,2614,8408,0,9,117,0,0,0,0,0,1,0,4298,2067,8408,2614,127
Glascock,0,138,1,15,0,1,40,2,2,140,0,1,167,5,81,0,4,210,1202,0,0,16,0,0,0,0,0,0,0,400,197,1202,210,16
Glynn,18,2072,4,123,3,15,3627,13,60,2164,5,15,2987,223,4269,6,35,12676,20479,0,9,161,0,0,0,2,0,12,2,9764,5875,20479,12676,186
Gordon,13,2282,10,140,4,6,837,14,28,2583,4,6,1537,140,1068,1,25,4268,13113,0,5,208,0,0,0,0,0,13,0,5392,3306,13113,4268,226
Grady,16,792,5,93,1,12,1036,20,14,810,1,3,959,39,467,1,7,3539,5775,0,2,45,0,0,0,0,0,4,0,2301,1975,5775,3539,51
Greene,12,518,4,34,1,6,1245,2,27,588,1,2,811,21,850,0,8,3339,4532,0,0,47,0,0,0,0,0,1,0,2308,1822,4532,3339,48
Gwinnett,94,20740,31,918,47,85,47018,65,622,27857,46,120,21653,2180,28956,18,242,129025,158746,0,100,2345,0,0,0,8,0,47,0,81694,68998,158746,129025,2500
Habersham,9,1395,3,153,2,11,774,7,26,2588,3,5,1470,139,1359,3,23,2900,11766,0,12,127,0,0,0,0,0,3,0,5616,2354,11766,2900,142
Hall,41,4167,11,253,10,31,4339,24,148,7949,18,30,5554,613,7750,11,95,14457,44962,0,3,504,0,0,0,1,0,1,0,22168,8876,44962,14457,509
Hancock,10,266,5,18,2,7,1305,9,0,104,0,0,100,11,71,0,0,3535,795,0,0,14,0,0,0,0,0,0,0,286,1622,795,3535,14
Haralson,12,1501,7,88,5,7,454,12,18,1713,4,5,1038,87,693,0,11,2248,8658,0,12,176,0,0,0,0,0,3,0,3569,2086,8658,2248,191
Harris,14,1224,7,78,1,5,1481,4,38,1208,3,7,1682,111,1615,4,23,4184,10648,0,4,68,0,0,0,0,0,4,0,4691,2814,10648,4184,76
Hart,9,1332,3,87,7,4,899,10,15,1087,1,5,777,63,547,0,12,3365,6537,0,9,89,0,0,0,0,0,2,0,2507,2351,6537,3365,100
Heard,4,600,5,44,1,9,318,6,9,558,3,6,448,31,253,0,5,1042,3133,0,3,44,0,0,0,1,0,2,0,1313,987,3133,1042,50
Henry,32,5824,12,391,11,28,16736,26,179,8581,25,25,5473,593,6561,5,94,40567,47157,0,4,580,0,0,0,0,0,3,0,21536,23060,47157,40567,587
Houston,25,3612,7,266,16,32,8123,24,79,4997,11,32,4661,467,4075,3,49,22094,33392,0,40,386,0,0,0,0,0,19,0,14374,12105,33392,22094,445
Irwin,2,404,1,38,1,4,381,3,2,406,2,2,359,16,150,0,10,1197,2605,0,0,26,0,0,0,0,0,0,0,947,834,2605,1197,26
Jackson,7,1990,6,137,8,10,1493,10,72,3655,6,16,2585,221,2368,2,35,4950,17776,0,15,215,0,0,0,1,0,3,0,8960,3661,17776,4950,234
Jasper,6,509,2,47,3,6,715,3,12,662,3,4,530,22,424,0,9,1935,3916,0,3,49,0,1,0,0,0,0,0,1666,1291,3916,1935,53
Jeff davis,7,534,3,59,2,3,387,6,6,623,3,0,365,21,174,2,9,1356,3867,2,2,50,0,0,0,0,0,1,0,1203,1001,3867,1356,55
Jefferson,15,624,4,41,5,12,1598,9,5,480,1,4,573,24,159,0,9,4149,3061,0,0,24,0,0,0,0,0,0,0,1255,2308,3061,4149,24
Jenkins,4,306,4,24,1,4,549,5,2,310,0,2,271,13,127,1,5,1482,1936,0,0,21,0,0,0,0,0,1,0,731,897,1936,1482,22
Johnson,4,321,5,32,5,2,384,5,7,437,2,1,372,19,115,1,2,1198,2426,0,3,20,0,0,0,0,0,0,0,956,758,2426,1198,23
Jones,8,1174,2,130,4,6,1990,9,38,1373,3,2,1221,102,849,3,20,4572,7782,0,3,79,0,0,0,1,0,1,0,3611,3323,7782,4572,84
Lamar,8,762,5,41,4,6,1016,5,17,1063,4,3,628,83,461,2,11,2752,4873,0,2,60,0,0,0,0,0,1,0,2272,1847,4873,2752,63
Lanier,4,282,3,27,0,4,297,1,7,182,2,3,253,11,115,0,6,1062,1787,0,1,21,0,0,0,0,0,2,0,579,618,1787,1062,24
Laurens,19,1728,9,125,11,18,2849,17,26,2438,4,8,1724,117,780,5,17,7769,12052,0,3,110,0,0,0,0,0,3,0,5119,4776,12052,7769,116
Lee,13,924,2,71,1,3,1147,2,19,1252,3,3,1663,77,990,1,8,3100,9925,0,4,56,0,0,0,0,0,2,0,4016,2163,9925,3100,62
Liberty,11,1150,6,66,3,16,3535,8,20,599,3,11,967,53,497,0,9,10474,5828,0,4,69,0,0,0,0,0,1,0,2159,4795,5828,10474,74
Lincoln,7,409,2,26,2,4,595,6,4,427,3,1,507,28,279,0,4,1650,2731,0,0,35,0,0,0,0,0,0,0,1253,1051,2731,1650,35
Long,3,298,2,25,0,2,294,4,4,236,0,0,281,26,114,0,2,1288,2119,0,0,43,0,0,0,0,0,0,0,663,628,2119,1288,43
Lowndes,45,2317,8,185,10,15,5203,33,77,2853,13,12,2742,232,2715,4,41,17597,21269,0,13,188,0,0,0,2,0,9,0,8689,7816,21269,17597,212
Lumpkin,15,1249,3,108,2,10,703,7,31,1552,7,7,1242,138,1085,0,31,2586,8326,0,5,151,0,0,0,3,0,4,0,4093,2097,8326,2586,163
Macon,6,440,2,33,5,9,1277,5,11,206,2,1,251,11,176,1,5,3251,1712,0,0,18,0,0,0,0,0,0,0,664,1777,1712,3251,18
Madison,10,1060,3,113,6,13,897,8,23,1695,7,7,1272,102,742,3,17,2965,8226,0,8,128,0,0,0,0,0,7,0,3868,2110,8226,2965,143
Marion,5,370,3,20,0,5,525,3,6,155,1,2,264,14,149,0,3,1381,1772,0,2,29,0,0,0,0,0,0,0,594,931,1772,1381,31
Mcduffie,9,724,6,50,4,10,1386,11,32,863,4,5,976,41,562,2,20,3989,5400,0,1,50,0,0,0,0,0,0,0,2505,2200,5400,3989,51
Mcintosh,17,569,3,49,6,7,1206,8,18,385,1,1,603,27,448,0,9,2905,3282,0,0,41,0,0,0,0,0,1,0,1492,1865,3282,2905,42
Meriwether,12,993,5,69,7,13,1681,15,16,813,2,1,799,53,508,1,9,4465,4982,0,4,52,0,0,0,0,0,1,0,2202,2795,4982,4465,57
Miller,3,311,1,28,0,2,165,0,1,218,0,0,265,10,85,0,1,818,1899,0,0,21,0,0,0,0,0,0,0,580,510,1899,818,21
Mitchell,15,789,6,57,0,5,1497,15,8,550,1,1,770,26,257,2,6,3872,4201,0,2,45,0,0,0,0,0,0,0,1621,2384,4201,3872,47
Monroe,13,906,6,66,4,1,1634,9,17,1511,3,3,1093,109,988,2,14,4106,7933,0,8,79,0,0,0,1,0,4,0,3740,2639,7933,4106,92
Montgomery,4,311,5,16,0,3,380,5,5,404,2,2,393,12,111,0,1,1045,2521,0,1,23,0,0,0,0,0,0,0,930,724,2521,1045,24
Morgan,9,671,3,57,3,7,1236,6,25,1267,4,1,977,62,725,0,3,3091,5987,0,1,70,0,0,0,0,0,2,0,3064,1992,5987,3091,73
Murray,9,1847,2,86,1,4,318,6,11,1745,5,5,809,152,456,1,14,3026,8180,0,6,163,0,0,0,0,0,7,0,3198,2273,8180,3026,176
Muscogee,43,6692,12,283,14,35,16947,37,141,2642,12,17,4985,316,4413,7,65,44158,29568,0,18,285,0,0,0,4,0,32,0,12598,24063,29568,44158,339
Newton,18,2852,11,165,2,14,8315,20,79,4119,11,15,2515,183,2771,3,36,20827,20337,0,19,237,0,0,0,5,0,10,0,9732,11397,20337,20827,271
Oconee,4,1358,1,111,3,5,1816,4,37,2066,0,7,2151,189,2049,3,17,4825,12120,0,6,177,0,0,0,1,0,3,0,6519,3302,12120,4825,187
Oglethorpe,8,585,2,36,7,4,747,1,14,771,2,7,663,45,387,0,7,2232,4144,0,2,60,0,0,0,0,0,9,0,1896,1390,4144,2232,71
Paulding,13,3887,10,268,11,12,6114,19,132,7351,11,19,4333,476,4803,4,57,17229,39192,0,18,536,0,0,0,1,0,9,0,17186,10334,39192,17229,564
Peach,9,727,4,45,3,8,2075,9,17,881,1,5,724,100,582,3,6,5927,5173,0,2,61,0,0,0,0,0,2,0,2319,2880,5173,5927,65
Pickens,4,1419,2,96,1,6,647,12,41,1864,2,7,1561,144,1434,2,18,2595,10004,0,3,177,0,0,0,0,0,7,0,5073,2187,10004,2595,187
Pierce,6,477,2,27,6,1,252,2,14,1076,2,4,751,23,407,0,1,1253,5500,0,3,33,0,0,0,0,0,2,0,2278,773,5500,1253,38
