county,precinct,office,district,party,candidate,absentee,early_votes,election_day,votes
County of Hawaii,01-04,HAWAI'I: Capital Budget & Capital Programs,,,NO,0,2,27,29
County of Hawaii,01-04,HAWAI'I: Board of Ethics,,,YES,0,18,168,186
County of Hawaii,01-04,HAWAI'I: Board of Ethics,,,NO,0,4,43,47
County of Hawaii,01-05,President and Vice President,,C,Don Blankenship,0,0,0,0
County of Hawaii,01-05,President and Vice President,,D,Joseph R. Biden,0,25,1025,1050
County of Hawaii,01-05,President and Vice President,,G,Howie Hawkins,0,0,12,12
County of Hawaii,01-05,President and Vice President,,L,Jo Jorgensen,0,0,14,14
County of Hawaii,01-05,President and Vice President,,R,Donald J. Trump,0,30,300,330
County of Hawaii,01-05,President and Vice President,,AS,Brock Pierce,0,0,1,1
County of Hawaii,01-05,U.S. Representative,2,R,"AKANA, Joe",0,24,226,250
County of Hawaii,01-05,U.S. Representative,2,N,"BURRUS, Ron",0,1,20,21
County of Hawaii,01-05,U.S. Representative,2,AS,"GIUFFRE, John (Raghu)",0,0,5,5
County of Hawaii,01-05,U.S. Representative,2,A,"HOOMANAWANUI, Jonathan",0,2,25,27
County of Hawaii,01-05,U.S. Representative,2,D,"KAHELE, Kaiali'i (Kai)",0,23,964,987
County of Hawaii,01-05,U.S. Representative,2,L,"TIPPENS, Michelle Rose",0,3,30,33
County of Hawaii,01-05,State Representative,1,D,"NAKASHIMA, Mark M.",0,20,919,939
County of Hawaii,01-05,State Representative,1,R,"SHIN, Lorraine Pualani",0,33,374,407
County of Hawaii,01-05,Hawaii Resident Trustee,,,"LINDSEY, Keola",0,30,578,608
County of Hawaii,01-05,Hawaii Resident Trustee,,,"MANGAUIL, Lanakila",0,17,421,438
County of Hawaii,01-05,Molokai Resident Trustee,,,"ALAPA, Luana",0,23,425,448
County of Hawaii,01-05,Molokai Resident Trustee,,,"MACHADO, Colette (Piipii)",0,18,403,421
County of Hawaii,01-05,At-Large Trustee,,,"AKINA, Keli'i",0,17,498,515
County of Hawaii,01-05,At-Large Trustee,,,"SOUZA, Keoni",0,27,409,436
County of Hawaii,01-05,"Mayor, County of Hawaii",,,"MARZO, Ikaika",0,31,515,546
County of Hawaii,01-05,"Mayor, County of Hawaii",,,"ROTH, Mitch",0,24,814,838
County of Hawaii,01-05,Councilmember,"1, County of Hawaii",,"KIMBALL, Heather L.",0,35,797,832
County of Hawaii,01-05,Councilmember,"1, County of Hawaii",,"YAGONG, Dominic",0,14,461,475
County of Hawaii,01-05,"HAWAI'I: Technical, Linguistic, & Grammatical Revisions of the Charter",,,YES,0,32,874,906
County of Hawaii,01-05,"HAWAI'I: Technical, Linguistic, & Grammatical Revisions of the Charter",,,NO,0,19,269,288
County of Hawaii,01-05,HAWAI'I: Council Meeting Locations,,,YES,0,41,904,945
County of Hawaii,01-05,HAWAI'I: Council Meeting Locations,,,NO,0,10,289,299
County of Hawaii,01-05,HAWAI'I: Department of Research & Development,,,YES,0,42,965,1007
County of Hawaii,01-05,HAWAI'I: Department of Research & Development,,,NO,0,9,185,194
County of Hawaii,01-05,HAWAI'I: Authority of Police & Fire Commissions,,,YES,0,42,979,1021
County of Hawaii,01-05,HAWAI'I: Authority of Police & Fire Commissions,,,NO,0,9,232,241
County of Hawaii,01-05,HAWAI'I: Terms of Council Members,,,YES,0,22,575,597
County of Hawaii,01-05,HAWAI'I: Terms of Council Members,,,NO,0,30,635,665
County of Hawaii,01-05,"HAWAI'I: Public Access, Open Space, & Natural Resources Preservation Fund",,,YES,0,34,659,693
County of Hawaii,01-05,"HAWAI'I: Public Access, Open Space, & Natural Resources Preservation Fund",,,NO,0,17,520,537
County of Hawaii,01-05,HAWAI'I: Discipline of Council Members,,,YES,0,41,1075,1116
County of Hawaii,01-05,HAWAI'I: Discipline of Council Members,,,NO,0,10,133,143
County of Hawaii,01-05,HAWAI'I: Department of Information Technology,,,YES,0,19,535,554
County of Hawaii,01-05,HAWAI'I: Department of Information Technology,,,NO,0,31,567,598
County of Hawaii,01-05,HAWAI'I: Establishment of a Disaster & Emergency Fund,,,YES,0,33,650,683
County of Hawaii,01-05,HAWAI'I: Establishment of a Disaster & Emergency Fund,,,NO,0,18,518,536
County of Hawaii,01-05,"HAWAI'I: Public Access, Open Space, & Natural Resources Preservation Maintenance Fund",,,YES,0,25,590,615
County of Hawaii,01-05,"HAWAI'I: Public Access, Open Space, & Natural Resources Preservation Maintenance Fund",,,NO,0,27,569,596
County of Hawaii,01-05,HAWAI'I: Mandatory Charter Reviews,,,YES,0,38,881,919
County of Hawaii,01-05,HAWAI'I: Mandatory Charter Reviews,,,NO,0,12,236,248
County of Hawaii,01-05,HAWAI'I: Corporation Counsel,,,YES,0,36,946,982
County of Hawaii,01-05,HAWAI'I: Corporation Counsel,,,NO,0,15,219,234
County of Hawaii,01-05,HAWAI'I: Hawai'i Fire Department,,,YES,0,30,767,797
County of Hawaii,01-05,HAWAI'I: Hawai'i Fire Department,,,NO,0,21,379,400
County of Hawaii,01-05,HAWAI'I: Membership on Boards & Commissions,,,YES,0,27,643,670
County of Hawaii,01-05,HAWAI'I: Membership on Boards & Commissions,,,NO,0,25,501,526
County of Hawaii,01-05,HAWAI'I: Capital Budget & Capital Programs,,,YES,0,37,892,929
County of Hawaii,01-05,HAWAI'I: Capital Budget & Capital Programs,,,NO,0,12,250,262
County of Hawaii,01-05,HAWAI'I: Board of Ethics,,,YES,0,35,936,971
County of Hawaii,01-05,HAWAI'I: Board of Ethics,,,NO,0,16,235,251
County of Hawaii,01-06,President and Vice President,,C,Don Blankenship,0,0,1,1
County of Hawaii,01-06,President and Vice President,,D,Joseph R. Biden,0,20,774,794
County of Hawaii,01-06,President and Vice President,,G,Howie Hawkins,0,0,9,9
County of Hawaii,01-06,President and Vice President,,L,Jo Jorgensen,0,2,14,16
County of Hawaii,01-06,President and Vice President,,R,Donald J. Trump,0,35,273,308
County of Hawaii,01-06,President and Vice President,,AS,Brock Pierce,0,0,4,4
County of Hawaii,01-06,U.S. Representative,2,R,"AKANA, Joe",0,26,195,221
County of Hawaii,01-06,U.S. Representative,2,N,"BURRUS, Ron",0,0,15,15
County of Hawaii,01-06,U.S. Representative,2,AS,"GIUFFRE, John (Raghu)",0,2,7,9
County of Hawaii,01-06,U.S. Representative,2,A,"HOOMANAWANUI, Jonathan",0,0,19,19
County of Hawaii,01-06,U.S. Representative,2,D,"KAHELE, Kaiali'i (Kai)",0,21,739,760
County of Hawaii,01-06,U.S. Representative,2,L,"TIPPENS, Michelle Rose",0,2,25,27
County of Hawaii,01-06,State Representative,1,D,"NAKASHIMA, Mark M.",0,19,769,788
County of Hawaii,01-06,State Representative,1,R,"SHIN, Lorraine Pualani",0,29,271,300
County of Hawaii,01-06,Hawaii Resident Trustee,,,"LINDSEY, Keola",0,23,456,479
County of Hawaii,01-06,Hawaii Resident Trustee,,,"MANGAUIL, Lanakila",0,11,331,342
