town,ward,precinct,office,district,party,candidate,votes
Wilbraham,,B,President,,Democratic,Andrew Yang,0
Springfield,4,H,President,,Republican,Joe Walsh,0
Bedford,,3,President,,Democratic,Amy Klobuchar,26
Chicopee,6,AS,President,,Democratic,Andrew Yang,0
Boston,19,4,President,,Democratic,Pete Buttigieg,9
Attleboro,2,A,President,,Republican,Donald J. Trump,171
Hingham,,2,President,,Libertarian,Vermin Love Supreme,0
Montague,,4,President,,Libertarian,Blanks,0
Boston,10,8,President,,Libertarian,Adam Kokesh,0
Leominster,4,A,President,,Democratic,Elizabeth A. Warren,62
Worcester,2,3,President,,Libertarian,Samuel Joseph Robb,0
Dover,,1,President,,Libertarian,Jacob George Hornberger,0
Chelmsford,,3,President,,Libertarian,Dan Taxation Is Theft Behrman,0
New Bedford,3,B,President,,Libertarian,Kenneth Reed Armstrong,0
Belchertown,,B,President,,Libertarian,Kimberly Margaret Ruff,1
Washington,,1,President,,Democratic,Michael Bennet,0
Ayer,,2,President,,Libertarian,Kenneth Reed Armstrong,0
Amherst,,3,President,,Libertarian,Blanks,0
Newton,8,3,President,,Democratic,All Others,0
Holland,,1,President,,Libertarian,Blanks,0
Revere,6,3,President,,Green-Rainbow,Blanks,0
Lynn,3,3,President,,Libertarian,All Others,2
Bourne,,4,President,,Democratic,Pete Buttigieg,31
Athol,,3,President,,Democratic,Tom Steyer,10
Chicopee,2,A,President,,Democratic,All Others,0
Melrose,6,2,President,,Republican,Total Votes Cast,116
Boston,10,6,President,,Libertarian,Jacob George Hornberger,0
Agawam,,1,President,,Democratic,Blanks,0
Worcester,2,5,President,,Green-Rainbow,Skcm Curry,0
Marlborough,2,2,President,,Democratic,Julian Castro,0
Hanson,,2,President,,Republican,Blanks,4
Fall River,9,C,President,,Democratic,Julian Castro,1
S. Hadley,,B,President,,Libertarian,Kenneth Reed Armstrong,0
W. Brookfield,,1,President,,Republican,William F. Weld,18
Holbrook,,1,President,,Libertarian,Dan Taxation Is Theft Behrman,0
Peabody,5,2,President,,Democratic,Tom Steyer,2
Boston,3,7,President,,Democratic,Blanks,1
Uxbridge,,4,President,,Republican,All Others,1
Lowell,4,2,President,,Democratic,Marianne Williamson,0
Montague,,6,President,,Libertarian,Kenneth Reed Armstrong,0
Chicopee,6,BW,President,,Libertarian,Blanks,0
Haverhill,1,2,President,,Democratic,Blanks,1
Melrose,6,1,President,,Republican,Total Votes Cast,97
Holyoke,6,B,President,,Republican,William F. Weld,6
Watertown,,4,President,,Republican,Donald J. Trump,40
Ludlow,,5,President,,Democratic,Cory Booker,1
Boston,4,5,President,,Libertarian,Jo Jorgensen,0
Winchester,,2,President,,Democratic,Blanks,0
Southwick,,2,President,,Libertarian,Jo Jorgensen,0
Boston,2,7,President,,Republican,Roque De La Fuente,0
Melrose,5,2,President,,Green-Rainbow,Total Votes Cast,0
Peabody,2,2,President,,Green-Rainbow,Blanks,0
Northborough,,2,President,,Republican,All Others,2
Chatham,,1,President,,Libertarian,Max Abramson,0
Taunton,8,A,President,,Green-Rainbow,Howard Hawkins,0
Haverhill,6,1,President,,Democratic,Julian Castro,0
Saugus,,10,President,,Libertarian,All Others,0
Chelsea,4,2,President,,Democratic,Tulsi Gabbard,2
Dudley,,1,President,,Democratic,Tom Steyer,9
Warren,,B,President,,Green-Rainbow,No Preference,0
Beverly,1,1,President,,Libertarian,Kimberly Margaret Ruff,0
N. Andover,,7,President,,Democratic,Amy Klobuchar,14
Haverhill,5,3,President,,Democratic,Deval Patrick,1
Westfield,5,B,President,,Libertarian,Total Votes Cast,2
Arlington,,18,President,,Democratic,Cory Booker,1
Foxborough,,2,President,,Democratic,Total Votes Cast,839
Somerville,6,3,President,,Democratic,Deval Patrick,3
Melrose,2,2,President,,Libertarian,Max Abramson,0
Medford,3,2,President,,Libertarian,Dan Taxation Is Theft Behrman,0
New Bedford,3,D,President,,Green-Rainbow,No Preference,0
Mashpee,,4,President,,Democratic,Total Votes Cast,625
Boston,17,11,President,,Libertarian,Jo Jorgensen,0
Everett,5,1,President,,Libertarian,Kenneth Reed Armstrong,0
W. Springfield,,1,President,,Democratic,Total Votes Cast,180
Mattapoisett,,1,President,,Democratic,"Joseph R. Biden, Jr.",661
Granby,,1,President,,Libertarian,Samuel Joseph Robb,0
Northampton,5,A,President,,Democratic,Blanks,3
Boston,11,3,President,,Libertarian,Blanks,0
Boston,18,5,President,,Democratic,Cory Booker,1
Somerset,,1,President,,Republican,William F. Weld,6
Agawam,,4,President,,Libertarian,Max Abramson,0
Manchester-by-the-Sea,,1,President,,Green-Rainbow,Dario Hunter,0
Uxbridge,,3,President,,Green-Rainbow,Dario Hunter,0
Maynard,,2,President,,Democratic,Michael R. Bloomberg,60
Newton,4,1,President,,Libertarian,Blanks,0
Northampton,4,B,President,,Democratic,Cory Booker,0
Newburyport,6,1,President,,Green-Rainbow,Howard Hawkins,0
Grafton,,3,President,,Democratic,Tom Steyer,4
Newton,6,3,President,,Democratic,Michael Bennet,1
Monson,,A,President,,Green-Rainbow,Blanks,0
Agawam,,6,President,,Democratic,Tulsi Gabbard,3
Southborough,,2,President,,Democratic,Tom Steyer,2
Watertown,,8,President,,Democratic,Michael Bennet,0
