town,ward,precinct,office,district,party,candidate,votes
Boston,6,3,President,,Libertarian,Kimberly Margaret Ruff,0
Waltham,7,2,President,,Republican,William F. Weld,4
New Bedford,5,E,President,,Green-Rainbow,Blanks,0
Newton,4,1,President,,Libertarian,Total Votes Cast,3
Reading,,3,President,,Green-Rainbow,Skcm Curry,0
Rockport,,3,President,,Green-Rainbow,David Rolde,0
Palmer,,1A,President,,Democratic,Cory Booker,0
Salem,2,2,President,,Democratic,Tom Steyer,2
Boston,21,1,President,,Republican,Blanks,0
Cambridge,2,3,President,,Democratic,Michael R. Bloomberg,66
Cambridge,1,2,President,,Libertarian,Kimberly Margaret Ruff,0
Andover,,7A,President,,Democratic,Pete Buttigieg,12
Stockbridge,,1,President,,Libertarian,Blanks,0
Adams,,4,President,,Democratic,Tulsi Gabbard,0
Barnstable,,8,President,,Democratic,Michael Bennet,1
Marlborough,6,2,President,,Democratic,Julian Castro,0
Needham,,A,President,,Democratic,All Others,1
Boston,15,1,President,,Libertarian,Vermin Love Supreme,0
New Bedford,6,A,President,,Libertarian,Vermin Love Supreme,0
Cambridge,3,3,President,,Democratic,Marianne Williamson,0
Waltham,3,2,President,,Democratic,Elizabeth A. Warren,212
Wilbraham,,D,President,,Democratic,Pete Buttigieg,16
Duxbury,,6,President,,Libertarian,Jo Jorgensen,0
Peabody,4,1,President,,Democratic,Pete Buttigieg,20
Fall River,7,C,President,,Democratic,Tom Steyer,1
Westborough,,1,President,,Libertarian,Arvin Vohra,0
Amherst,,8,President,,Republican,William F. Weld,11
Quincy,6,5,President,,Green-Rainbow,Howard Hawkins,0
Braintree,,4B,President,,Democratic,"Joseph R. Biden, Jr.",249
Hudson,,2,President,,Green-Rainbow,Howard Hawkins,0
Lunenburg,,C,President,,Republican,William F. Weld,23
Dracut,,9,President,,Libertarian,Kimberly Margaret Ruff,2
Sharon,,4,President,,Green-Rainbow,Howard Hawkins,0
Seekonk,,3,President,,Libertarian,Samuel Joseph Robb,0
Bourne,,4,President,,Republican,Total Votes Cast,304
Greenfield,,8,President,,Democratic,Michael Bennet,1
W. Springfield,,8,President,,Democratic,"Joseph R. Biden, Jr.",102
Medford,8,2,President,,Democratic,John K. Delaney,0
Canton,,5,President,,Green-Rainbow,All Others,0
Cheshire,,1,President,,Democratic,No Preference,3
New Bedford,5,A,President,,Democratic,No Preference,1
Hopkinton,,1,President,,Republican,Roque De La Fuente,2
Lynn,4,1,President,,Republican,No Preference,0
Quincy,5,2,President,,Democratic,Total Votes Cast,540
Brockton,1,D,President,,Democratic,Andrew Yang,0
Springfield,6,A,President,,Democratic,Tulsi Gabbard,3
Methuen,,9,President,,Republican,No Preference,2
Stoneham,,2,President,,Green-Rainbow,Kent Mesplay,0
Bridgewater,,4,President,,Democratic,Tom Steyer,6
Lawrence,E,3,President,,Democratic,Michael Bennet,0
Winthrop,,3,President,,Democratic,Andrew Yang,2
Sandwich,,2,President,,Republican,Blanks,0
N. Adams,4,4,President,,Libertarian,Kenneth Reed Armstrong,0
Brockton,3,C,President,,Republican,Roque De La Fuente,0
Norfolk,,2,President,,Libertarian,Samuel Joseph Robb,0
Rowley,,1,President,,Republican,Roque De La Fuente,1
Lenox,,1,President,,Libertarian,Dan Taxation Is Theft Behrman,0
Somerville,3,2,President,,Libertarian,No Preference,0
Salem,2,2,President,,Democratic,Julian Castro,0
Methuen,,2,President,,Libertarian,Jacob George Hornberger,0
Framingham,,15,President,,Green-Rainbow,All Others,0
Tewksbury,,1A,President,,Republican,Blanks,2
Halifax,,1,President,,Green-Rainbow,Total Votes Cast,1
Spencer,,3,President,,Libertarian,No Preference,0
Boston,22,6,President,,Republican,Donald J. Trump,26
Lakeville,,2,President,,Democratic,Deval Patrick,4
TOTALS,,,President,,Republican,William F. Weld,25425
Everett,6,1,President,,Green-Rainbow,Skcm Curry,0
Worcester,3,1,President,,Green-Rainbow,Dario Hunter,0
Spencer,,4,President,,Democratic,No Preference,4
Abington,,1,President,,Green-Rainbow,Blanks,0
Holbrook,,1,President,,Republican,William F. Weld,11
Hanson,,1,President,,Libertarian,Max Abramson,0
Braintree,,5B,President,,Green-Rainbow,All Others,0
Andover,,7A,President,,Green-Rainbow,Total Votes Cast,0
Princeton,,1,President,,Republican,Roque De La Fuente,0
New Salem,,1,President,,Green-Rainbow,David Rolde,0
Nantucket,,1,President,,Libertarian,No Preference,2
Sherborn,,1,President,,Green-Rainbow,David Rolde,0
Orange,,1,President,,Democratic,Tulsi Gabbard,8
Ashland,,4,President,,Democratic,Tulsi Gabbard,5
Boston,11,7,President,,Democratic,Blanks,2
Burlington,,7,President,,Green-Rainbow,Skcm Curry,0
Cambridge,7,3,President,,Green-Rainbow,No Preference,1
Lynn,3,2,President,,Republican,All Others,0
Arlington,,21,President,,Libertarian,Kimberly Margaret Ruff,0
Boston,13,3,President,,Green-Rainbow,Dario Hunter,0
Leverett,,1,President,,Democratic,"Joseph R. Biden, Jr.",173
Lexington,,7,President,,Green-Rainbow,Kent Mesplay,0
Boxford,,2,President,,Green-Rainbow,David Rolde,0
Shrewsbury,,4,President,,Libertarian,Kimberly Margaret Ruff,0
Boston,4,6,President,,Republican,William F. Weld,6
Milford,,6,President,,Libertarian,All Others,0
Lowell,8,2,President,,Republican,Roque De La Fuente,0
Marblehead,,4,President,,Democratic,Tom Steyer,5
Marlborough,4,2,President,,Democratic,Total Votes Cast,661
Springfield,4,B,President,,Libertarian,Jacob George Hornberger,0
Carver,,1,President,,Democratic,Tulsi Gabbard,3
Peabody,4,1,President,,Democratic,Andrew Yang,1
Bourne,,3,President,,Libertarian,Kenneth Reed Armstrong,0
Lowell,2,3,President,,Libertarian,Total Votes Cast,2
Belmont,,6,President,,Republican,Blanks,0
Brockton,5,B,President,,Green-Rainbow,Total Votes Cast,0
Hudson,,7,President,,Democratic,All Others,0
Lawrence,B,1,President,,Democratic,Blanks,6
Somerville,7,1,President,,Democratic,All Others,2
Worcester,1,1,President,,Democratic,Pete Buttigieg,34
Haverhill,3,2,President,,Green-Rainbow,No Preference,0
Leominster,2,A,President,,Democratic,Tom Steyer,3
Maynard,,2,President,,Republican,Donald J. Trump,93
Wareham,,5,President,,Libertarian,Vermin Love Supreme,0
Springfield,7,H,President,,Republican,Donald J. Trump,35
Lowell,3,3,President,,Democratic,No Preference,0
Mashpee,,2,President,,Republican,Total Votes Cast,259
Woburn,4,2,President,,Democratic,Pete Buttigieg,13
Cambridge,5,1,President,,Libertarian,Kimberly Margaret Ruff,0
Monson,,C,President,,Democratic,Cory Booker,0
Marblehead,,1,President,,Democratic,No Preference,0
Worcester,10,4,President,,Democratic,"Joseph R. Biden, Jr.",44
Rehoboth,,3,President,,Republican,Roque De La Fuente,1
Spencer,,3,President,,Libertarian,Kimberly Margaret Ruff,0
Boston,19,1,President,,Democratic,Elizabeth A. Warren,415
Springfield,7,E,President,,Republican,Blanks,1
Chelsea,2,3,President,,Libertarian,No Preference,0
Wakefield,,1,President,,Libertarian,All Others,1
Boston,14,1,President,,Green-Rainbow,All Others,0
Orange,,1,President,,Democratic,Marianne Williamson,0
Bedford,,1,President,,Democratic,Total Votes Cast,1154
Templeton,,B,President,,Libertarian,Dan Taxation Is Theft Behrman,0
Norwell,,1,President,,Republican,No Preference,2
Agawam,,6,President,,Green-Rainbow,Skcm Curry,0
Everett,1,2,President,,Libertarian,Jacob George Hornberger,0
Hingham,,4,President,,Democratic,Andrew Yang,2
Lowell,3,3,President,,Republican,No Preference,1
Boston,18,1,President,,Libertarian,Blanks,0
Boston,15,3,President,,Democratic,All Others,0
Cambridge,9,1,President,,Democratic,Michael R. Bloomberg,203
Sandwich,,5,President,,Green-Rainbow,Skcm Curry,0
Chelmsford,,9,President,,Democratic,Blanks,1
Canton,,3,President,,Green-Rainbow,No Preference,0
W. Bridgewater,,1,President,,Green-Rainbow,Blanks,0
Peabody,3,3,President,,Republican,Blanks,2
Belmont,,7,President,,Democratic,Marianne Williamson,0
Boston,15,3,President,,Democratic,Total Votes Cast,158
Marshfield,,3,President,,Green-Rainbow,Blanks,0
Gloucester,2,2,President,,Democratic,Marianne Williamson,0
Ashland,,4,President,,Libertarian,Adam Kokesh,0
Peabody,3,1,President,,Republican,Blanks,0
Norton,,5,President,,Democratic,Andrew Yang,1
Holyoke,1,A,President,,Green-Rainbow,David Rolde,0
Marblehead,,1,President,,Democratic,Bernie Sanders,189
Fitchburg,2,B,President,,Democratic,Michael Bennet,0
Upton,,1,President,,Libertarian,Total Votes Cast,6
Pembroke,,4,President,,Green-Rainbow,No Preference,0
Lynn,4,4,President,,Republican,Donald J. Trump,40
Chelmsford,,3,President,,Green-Rainbow,No Preference,0
Lynn,4,1,President,,Libertarian,Vermin Love Supreme,0
Pittsfield,6,B,President,,Green-Rainbow,Dario Hunter,0
Danvers,,3,President,,Democratic,Deval Patrick,3
Boston,6,5,President,,Democratic,Bernie Sanders,124
Douglas,,1,President,,Libertarian,Total Votes Cast,3
Ludlow,,5,President,,Republican,Total Votes Cast,148
Bourne,,1,President,,Democratic,Elizabeth A. Warren,65
Scituate,,4,President,,Republican,Joe Walsh,0
Worcester,7,3,President,,Republican,Donald J. Trump,89
Milford,,7,President,,Republican,Blanks,0
Somerset,,3,President,,Libertarian,Kimberly Margaret Ruff,0
Malden,5,1,President,,Democratic,Total Votes Cast,649
Everett,4,2,President,,Libertarian,Kimberly Margaret Ruff,0
Worcester,8,3,President,,Libertarian,No Preference,0
Springfield,6,D,President,,Libertarian,Kenneth Reed Armstrong,0
Worthington,,1,President,,Libertarian,Kenneth Reed Armstrong,0
Leominster,5,A,President,,Republican,Donald J. Trump,98
Boston,11,7,President,,Democratic,Deval Patrick,4
Brockton,1,D,President,,Democratic,John K. Delaney,1
Dracut,,4,President,,Democratic,Michael R. Bloomberg,102
Milton,,1,President,,Libertarian,Jo Jorgensen,0
New Bedford,2,B,President,,Green-Rainbow,Howard Hawkins,0
Tewksbury,,1,President,,Green-Rainbow,Total Votes Cast,0
Medfield,,3,President,,Democratic,Pete Buttigieg,35
Salisbury,,3,President,,Republican,All Others,1
Boston,18,21,President,,Democratic,Andrew Yang,0
Leominster,4,A,President,,Republican,Roque De La Fuente,0
Medfield,,2,President,,Libertarian,Total Votes Cast,1
Boston,3,7,President,,Democratic,Elizabeth A. Warren,495
Framingham,,11,President,,Republican,William F. Weld,32
Worcester,10,1,President,,Libertarian,Vermin Love Supreme,0
Dracut,,6A,President,,Green-Rainbow,Skcm Curry,0
Greenfield,,6,President,,Democratic,Blanks,0
Plymouth,,8,President,,Democratic,Deval Patrick,5
Danvers,,4,President,,Libertarian,Arvin Vohra,0
Erving,,1,President,,Republican,No Preference,0
Barre,,2,President,,Libertarian,Jacob George Hornberger,0
Hopkinton,,3,President,,Libertarian,Vermin Love Supreme,0
Marblehead,,6,President,,Libertarian,Adam Kokesh,1
Arlington,,16,President,,Libertarian,Kenneth Reed Armstrong,0
Gloucester,4,1,President,,Libertarian,Total Votes Cast,1
Littleton,,3,President,,Green-Rainbow,Blanks,0
Hatfield,,1,President,,Green-Rainbow,Kent Mesplay,0
Agawam,,5,President,,Libertarian,Jo Jorgensen,1
Lynn,5,3,President,,Republican,Total Votes Cast,24
Boston,14,13,President,,Libertarian,Samuel Joseph Robb,0
Millbury,,3,President,,Libertarian,Jo Jorgensen,0
Wrentham,,2,President,,Libertarian,Dan Taxation Is Theft Behrman,0
Greenfield,,6,President,,Libertarian,Jo Jorgensen,0
Concord,,1,President,,Green-Rainbow,Dario Hunter,0
Foxborough,,1,President,,Green-Rainbow,David Rolde,0
Medford,7,2,President,,Green-Rainbow,Skcm Curry,0
Boston,12,5,President,,Libertarian,Max Abramson,0
Plymouth,,4,President,,Democratic,Pete Buttigieg,32
Plymouth,,13,President,,Republican,All Others,1
Springfield,6,A,President,,Green-Rainbow,Dario Hunter,0
Palmer,,1,President,,Libertarian,Jacob George Hornberger,0
Norwell,,1,President,,Democratic,Marianne Williamson,0
Orange,,2,President,,Democratic,Michael R. Bloomberg,40
Amherst,,9,President,,Republican,Roque De La Fuente,1
Northampton,5,A,President,,Green-Rainbow,Blanks,1
Granby,,2,President,,Democratic,All Others,0
Waltham,7,1,President,,Democratic,John K. Delaney,0
Westfield,5,B,President,,Green-Rainbow,Skcm Curry,0
Rockland,,4,President,,Libertarian,Adam Kokesh,0
Holyoke,6,B,President,,Republican,Joe Walsh,0
Framingham,,11,President,,Democratic,Michael Bennet,0
Grafton,,4,President,,Democratic,All Others,0
Peabody,4,3A,President,,Democratic,Tom Steyer,2
Brookline,,2,President,,Democratic,Tom Steyer,3
Boston,22,2,President,,Democratic,All Others,0
Hudson,,1,President,,Libertarian,Vermin Love Supreme,0
Braintree,,1A,President,,Libertarian,Samuel Joseph Robb,0
Northampton,2,B,President,,Democratic,Elizabeth A. Warren,273
Randolph,,2,President,,Libertarian,Arvin Vohra,0
Billerica,,5,President,,Democratic,Cory Booker,0
Ashby,,1,President,,Green-Rainbow,All Others,0
Stoneham,,4,President,,Libertarian,Max Abramson,0
Clinton,,1,President,,Libertarian,Vermin Love Supreme,1
Dracut,,4,President,,Green-Rainbow,Dario Hunter,0
Salem,3,1,President,,Democratic,All Others,2
Malden,2,2,President,,Democratic,Marianne Williamson,0
Norton,,4,President,,Democratic,Cory Booker,0
Dracut,,7,President,,Democratic,Amy Klobuchar,19
N. Brookfield,,1,President,,Democratic,Andrew Yang,0
Wareham,,5,President,,Republican,Roque De La Fuente,1
Methuen,,12,President,,Libertarian,Arvin Vohra,0
Cambridge,7,1,President,,Green-Rainbow,David Rolde,0
Bellingham,,1,President,,Libertarian,All Others,0
Leominster,4,B,President,,Democratic,Michael Bennet,0
Weymouth,,11,President,,Democratic,Pete Buttigieg,15
New Bedford,5,F,President,,Libertarian,Vermin Love Supreme,0
Taunton,4,B,President,,Green-Rainbow,All Others,0
Framingham,,7,President,,Democratic,Pete Buttigieg,28
Mansfield,,4,President,,Libertarian,Jo Jorgensen,0
Somerset,,1,President,,Republican,Joe Walsh,0
Boston,17,12,President,,Green-Rainbow,Kent Mesplay,0
Malden,2,2,President,,Libertarian,Jacob George Hornberger,0
Marshfield,,4,President,,Democratic,Pete Buttigieg,33
Marshfield,,2,President,,Democratic,Marianne Williamson,0
Lexington,,4,President,,Libertarian,Kenneth Reed Armstrong,0
Peabody,1,1,President,,Democratic,Amy Klobuchar,11
Bedford,,3,President,,Libertarian,Samuel Joseph Robb,0
Boston,5,2,President,,Republican,Roque De La Fuente,1
Boston,5,6,President,,Democratic,Andrew Yang,2
Methuen,,4,President,,Libertarian,No Preference,0
Waltham,8,1,President,,Libertarian,Arvin Vohra,0
Boston,20,4,President,,Democratic,All Others,1
Framingham,,6,President,,Democratic,"Joseph R. Biden, Jr.",396
Hull,,1,President,,Democratic,Julian Castro,0
Norwood,,1,President,,Democratic,Deval Patrick,6
Rockland,,6,President,,Green-Rainbow,Blanks,0
Peabody,4,3A,President,,Democratic,Julian Castro,0
Chicopee,8,A,President,,Republican,Total Votes Cast,122
Leverett,,1,President,,Libertarian,Jo Jorgensen,0
Beverly,6,2,President,,Libertarian,Jo Jorgensen,0
Haverhill,5,1,President,,Republican,No Preference,4
Arlington,,13,President,,Republican,No Preference,1
Brookline,,11,President,,Democratic,Total Votes Cast,1278
Springfield,2,F,President,,Democratic,Julian Castro,0
Boston,1,1,President,,Republican,Joe Walsh,0
Newton,5,4,President,,Libertarian,Jacob George Hornberger,0
Pittsfield,4,A,President,,Green-Rainbow,All Others,0
Holden,,4,President,,Democratic,Tom Steyer,4
Springfield,6,C,President,,Libertarian,Adam Kokesh,0
Boston,11,10,President,,Libertarian,Vermin Love Supreme,0
Newton,6,3,President,,Democratic,Tulsi Gabbard,3
Easton,,1,President,,Democratic,Julian Castro,0
Scituate,,2,President,,Republican,William F. Weld,33
Danvers,,4,President,,Democratic,Tulsi Gabbard,5
N. Attleborough,,7,President,,Democratic,Cory Booker,2
Boston,5,2,President,,Democratic,Cory Booker,0
Gloucester,5,1,President,,Republican,Joe Walsh,1
Lynn,3,2,President,,Libertarian,Max Abramson,0
Newburyport,4,1,President,,Libertarian,No Preference,0
Boston,3,3,President,,Libertarian,No Preference,1
Malden,7,1,President,,Democratic,Marianne Williamson,0
Falmouth,,1,President,,Democratic,John K. Delaney,0
Dedham,,5,President,,Democratic,"Joseph R. Biden, Jr.",352
Taunton,3,B,President,,Republican,William F. Weld,12
Revere,1,1,President,,Libertarian,Samuel Joseph Robb,0
Fitchburg,1,B,President,,Republican,Blanks,1
Revere,3,1,President,,Libertarian,Max Abramson,0
Plymouth,,5,President,,Democratic,Michael Bennet,0
Somerville,5,2,President,,Libertarian,Vermin Love Supreme,0
Westwood,,2,President,,Libertarian,Vermin Love Supreme,0
Medford,7,2,President,,Democratic,Tulsi Gabbard,7
Gloucester,1,1,President,,Democratic,Deval Patrick,2
Northampton,2,A,President,,Democratic,No Preference,2
Taunton,2,A,President,,Republican,No Preference,1
Brookline,,15,President,,Democratic,Bernie Sanders,152
Peabody,5,3,President,,Democratic,Tulsi Gabbard,4
Mashpee,,1,President,,Libertarian,Adam Kokesh,0
Brockton,3,B,President,,Republican,Donald J. Trump,23
Holden,,4,President,,Libertarian,Jo Jorgensen,0
Quincy,1,3,President,,Green-Rainbow,Dario Hunter,0
N. Andover,,7,President,,Democratic,No Preference,7
Boston,20,3,President,,Libertarian,Vermin Love Supreme,0
Newton,1,3,President,,Libertarian,Kenneth Reed Armstrong,0
Lancaster,,1,President,,Republican,Total Votes Cast,194
Springfield,2,D,President,,Republican,Roque De La Fuente,0
Springfield,5,C,President,,Libertarian,Arvin Vohra,0
N. Adams,5,5,President,,Green-Rainbow,David Rolde,0
N. Andover,,6,President,,Libertarian,No Preference,1
Somerville,7,2,President,,Green-Rainbow,No Preference,0
Wilmington,,6,President,,Libertarian,Dan Taxation Is Theft Behrman,0
Watertown,,8,President,,Democratic,John K. Delaney,1
Chicopee,6,BW,President,,Green-Rainbow,Skcm Curry,0
Norwood,,6,President,,Democratic,Andrew Yang,2
Quincy,6,4,President,,Democratic,"Joseph R. Biden, Jr.",157
Lynn,1,4,President,,Libertarian,Vermin Love Supreme,0
Boston,7,4,President,,Green-Rainbow,Howard Hawkins,0
Medford,8,1,President,,Libertarian,Blanks,0
Middlefield,,1,President,,Democratic,Michael Bennet,0
Norwood,,9,President,,Democratic,Michael R. Bloomberg,108
Boston,21,12,President,,Libertarian,Jacob George Hornberger,1
Stoughton,,8,President,,Libertarian,Kenneth Reed Armstrong,0
Everett,4,2,President,,Libertarian,All Others,1
New Bedford,6,B,President,,Libertarian,Blanks,0
Boston,3,6,President,,Republican,Total Votes Cast,103
Barnstable,,8,President,,Democratic,Andrew Yang,0
Holliston,,2,President,,Green-Rainbow,Howard Hawkins,0
Berlin,,1,President,,Democratic,Michael R. Bloomberg,112
Boston,21,6,President,,Democratic,Deval Patrick,2
Braintree,,6B,President,,Democratic,Tom Steyer,3
