precinct,pri_dem_CLINTON,pri_dem_O'MALLEY,pri_dem_SANDERS,pri_dem_STEINBERG,pri_rep_BUSH,pri_rep_CARSON,pri_rep_CHRISTIE,pri_rep_CRUZ,pri_rep_FIORINA,pri_rep_GRAHAM,pri_rep_HUCKABEE,pri_rep_KASICH,pri_rep_PATAKI,pri_rep_PAUL,pri_rep_RUBIO,pri_rep_SANTORUM,pri_rep_TRUMP,gen_dem_CLINTON,gen_lib_JOHNSON,gen_rep_TRUMP,dem_primary_total,rep_primary_total,dem_general_total,rep_general_total
FAYETTEWILLOWBEND,91,0,62,0,4,37,2,142,0,1,1,66,0,0,196,0,203,370,80,941,153,652,370,941
FAYETTEWINDGATE,56,1,43,1,4,24,0,67,0,0,0,36,0,0,135,0,112,225,39,468,101,378,225,468
FAYETTEWOOLSEY,65,1,50,1,2,61,0,270,1,0,2,59,0,2,247,0,330,313,53,1412,117,974,313,1412
FLOYDALTO PARK,111,1,65,1,3,54,1,214,1,0,2,70,0,0,213,0,375,442,68,1480,178,933,442,1480
FLOYDARMUCHEE,39,0,15,1,2,49,2,64,0,0,0,19,0,2,73,0,198,122,22,654,55,409,122,654
FLOYDBARKERS,43,0,35,1,3,49,1,159,0,0,1,19,0,3,108,0,286,185,40,1196,79,629,185,1196
FLOYDCAVE SPRING,80,0,43,2,0,35,0,67,1,0,2,24,0,1,66,0,165,223,26,709,125,361,223,709
FLOYDCHULIO,46,1,22,0,1,13,0,92,0,0,2,17,0,0,56,0,170,120,28,591,69,351,120,591
FLOYDEAST LINDALE,100,1,54,2,6,75,0,211,0,0,2,53,0,3,219,0,369,483,63,1595,157,938,483,1595
FLOYDEAST ROME,271,1,158,2,6,68,2,122,0,1,1,98,0,2,262,0,303,1019,89,1164,432,865,1019,1164
FLOYDETOWAH,184,3,100,1,6,135,3,257,3,0,3,79,0,1,282,1,614,613,77,2444,288,1384,613,2444
FLOYDEVERETT SPRINGS,14,0,9,1,1,11,0,23,1,0,0,5,0,0,19,1,77,40,7,237,24,138,40,237
FLOYDFLOYD SPRINGS,34,1,25,0,1,55,0,118,0,0,1,24,0,1,106,0,255,119,27,977,60,561,119,977
FLOYDFOSTER'S MILL,30,0,15,1,0,13,0,68,0,0,0,13,0,0,39,1,142,76,13,491,46,276,76,491
FLOYDGARDEN LAKES,86,3,48,0,3,34,1,113,0,0,0,27,0,0,59,2,210,381,50,824,137,449,381,824
FLOYDGLENWOOD,98,2,91,2,10,81,2,180,0,0,1,34,0,4,178,0,313,381,71,1444,193,803,381,1444
FLOYDHOWELL,27,0,21,0,0,21,0,107,1,0,1,6,0,0,58,0,236,90,14,810,48,430,90,810
FLOYDMT ALTO NORTH,287,2,115,0,5,67,0,137,2,0,1,40,0,0,236,0,341,1005,84,1384,404,829,1005,1384
FLOYDMT ALTO SOUTH,228,2,115,0,9,62,1,155,0,0,2,56,0,3,260,0,334,832,82,1338,345,882,832,1338
FLOYDNAN,2568,27,1368,25,73,1140,16,2874,12,1,32,829,2,27,3152,5,5979,9159,1084,24114,3988,14142,9159,24114
FLOYDNORTH CAROLINA,49,1,35,0,0,43,0,80,0,0,1,8,0,1,53,0,186,168,21,789,85,372,168,789
FLOYDNORTH ROME,297,1,75,3,6,64,1,116,0,0,2,67,1,2,198,0,191,844,52,906,376,648,844,906
FLOYDRIVERSIDE,33,0,23,0,0,21,1,50,0,0,2,9,0,0,48,0,79,128,24,351,56,210,128,351
FLOYDSOUTH ROME,149,1,56,0,0,5,0,15,0,0,0,8,0,0,33,0,37,497,27,156,206,98,497,156
FLOYDTEXAS VALLEY,14,1,13,0,0,26,0,92,0,0,1,16,0,0,71,0,99,61,13,464,28,305,61,464
FLOYDTOWN ROME,187,0,93,1,5,35,0,94,0,0,4,66,0,1,202,0,176,670,56,855,281,583,670,855
FLOYDVANNS VALLEY,19,1,18,0,0,6,0,26,1,0,0,16,0,0,35,0,87,96,15,310,38,171,96,310
FLOYDWATTERS,62,4,63,3,1,77,0,185,0,0,2,31,1,1,146,0,433,262,66,1706,132,877,262,1706
FLOYDWEST LINDALE,80,1,61,4,5,41,1,129,2,0,1,24,0,2,132,0,303,302,49,1239,146,640,302,1239
FORSYTH01 BIG CREEK,533,2,376,4,32,183,3,991,3,0,5,321,0,9,1632,2,1372,3393,481,7101,915,4553,3393,7101
FORSYTH02 BRANDYWINE,276,0,239,1,3,42,0,224,0,0,3,62,1,1,381,0,366,1745,193,1856,516,1083,1745,1856
FORSYTH03 BROWNS BRIDGE-7,82,0,103,1,3,65,1,310,0,0,1,56,0,1,266,0,493,546,152,2110,186,1196,546,2110
FORSYTH03 BROWNS BRIDGE-9,83,2,93,0,8,48,2,399,0,0,2,82,0,4,405,0,745,464,105,2752,178,1695,464,2752
FORSYTH04 CHESTATEE,84,3,95,0,9,104,0,570,2,0,5,68,0,3,424,1,879,541,125,3451,182,2065,541,3451
FORSYTH05 COAL MOUNTAIN,98,0,92,0,11,71,3,382,0,0,3,64,1,6,363,3,644,666,142,2772,190,1551,666,2772
FORSYTH06 CROSSROADS,100,0,122,0,15,114,5,445,2,0,4,105,0,3,395,1,792,590,157,3159,222,1881,590,3159
FORSYTH07 CUMMING,72,0,57,0,10,51,2,190,0,0,1,23,0,1,190,0,358,438,71,1361,129,826,438,1361
FORSYTH08 MASHBURN,224,3,183,0,14,114,4,601,0,0,1,149,3,4,828,2,1021,1174,235,4231,410,2741,1174,4231
