precinct_code,gen_dem_CLINTON,gen_ind_CLINTON,gen_ind_JOHNSON,gen_ind_STEIN,gen_ind_TRUMP,gen_rep_TRUMP,pri_dem_CLINTON,pri_dem_SANDERS,pri_ind_CLINTON,pri_ind_CRUZ,pri_ind_KASICH,pri_ind_SANDERS,pri_ind_TRUMP,pri_rep_CRUZ,pri_rep_KASICH,pri_rep_TRUMP,gen_total,rep_pri_total,dem_pri_total
Linn-41043101,105.0,0.0,18.0,4.0,0.0,297.0,35.0,35.0,0.0,0.0,0.0,0.0,0.0,15.0,15.0,103.0,424.0,133.0,70.0
Linn-41043102,412.0,0.0,67.0,25.0,0.0,570.0,106.0,159.0,0.0,0.0,0.0,0.0,0.0,34.0,33.0,153.0,1074.0,220.0,265.0
Linn-41043103,93.0,0.0,13.0,9.0,0.0,314.0,20.0,49.0,0.0,0.0,0.0,0.0,0.0,30.0,8.0,90.0,429.0,128.0,69.0
Linn-41043104,146.0,0.0,24.0,11.0,0.0,370.0,39.0,58.0,0.0,0.0,0.0,0.0,0.0,33.0,15.0,99.0,551.0,147.0,97.0
Linn-41043105,208.0,0.0,39.0,21.0,0.0,284.0,46.0,94.0,0.0,0.0,0.0,0.0,0.0,19.0,4.0,64.0,552.0,87.0,140.0
Linn-41043106,209.0,0.0,33.0,13.0,0.0,348.0,50.0,87.0,0.0,0.0,0.0,0.0,0.0,17.0,15.0,112.0,603.0,144.0,137.0
Linn-41043107,333.0,0.0,57.0,20.0,0.0,535.0,99.0,150.0,0.0,0.0,0.0,0.0,0.0,49.0,42.0,157.0,945.0,248.0,249.0
Linn-41043108,453.0,0.0,132.0,34.0,0.0,884.0,130.0,185.0,0.0,0.0,0.0,0.0,0.0,77.0,46.0,196.0,1503.0,319.0,315.0
Linn-4104311,247.0,0.0,46.0,11.0,0.0,190.0,58.0,84.0,0.0,0.0,0.0,0.0,0.0,18.0,14.0,45.0,494.0,77.0,142.0
Linn-4104314,261.0,0.0,58.0,20.0,0.0,271.0,52.0,123.0,0.0,0.0,0.0,0.0,0.0,24.0,14.0,60.0,610.0,98.0,175.0
Linn-4104315,102.0,0.0,16.0,12.0,0.0,117.0,23.0,44.0,0.0,0.0,0.0,0.0,0.0,10.0,3.0,30.0,247.0,43.0,67.0
Linn-4104316,285.0,0.0,53.0,17.0,0.0,293.0,71.0,97.0,0.0,0.0,0.0,0.0,0.0,28.0,22.0,84.0,648.0,134.0,168.0
Linn-4104318,797.0,0.0,129.0,53.0,0.0,919.0,212.0,268.0,0.0,0.0,0.0,0.0,0.0,77.0,81.0,241.0,1898.0,399.0,480.0
Linn-4104319,247.0,0.0,61.0,13.0,0.0,387.0,74.0,112.0,0.0,0.0,0.0,0.0,0.0,41.0,26.0,125.0,708.0,192.0,186.0
Linn-4104320,134.0,0.0,19.0,12.0,0.0,329.0,42.0,52.0,0.0,0.0,0.0,0.0,0.0,27.0,19.0,96.0,494.0,142.0,94.0
Linn-4104321,62.0,0.0,16.0,3.0,0.0,197.0,16.0,28.0,0.0,0.0,0.0,0.0,0.0,26.0,6.0,51.0,278.0,83.0,44.0
Linn-4104322,18.0,0.0,16.0,3.0,0.0,56.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,20.0,93.0,27.0,8.0
Linn-4104323,158.0,0.0,23.0,8.0,0.0,464.0,54.0,56.0,0.0,0.0,0.0,0.0,0.0,49.0,29.0,131.0,653.0,209.0,110.0
Linn-4104325,194.0,0.0,34.0,15.0,0.0,466.0,60.0,78.0,0.0,0.0,0.0,0.0,0.0,38.0,18.0,111.0,709.0,167.0,138.0
Linn-4104326,35.0,0.0,15.0,3.0,0.0,149.0,13.0,19.0,0.0,0.0,0.0,0.0,0.0,21.0,5.0,33.0,202.0,59.0,32.0
Linn-4104327,129.0,0.0,19.0,8.0,0.0,350.0,51.0,49.0,0.0,0.0,0.0,0.0,0.0,27.0,27.0,100.0,506.0,154.0,100.0
Linn-4104328,25.0,0.0,4.0,3.0,0.0,138.0,11.0,10.0,0.0,0.0,0.0,0.0,0.0,19.0,10.0,50.0,170.0,79.0,21.0
Linn-4104329,423.0,0.0,85.0,24.0,0.0,997.0,93.0,159.0,0.0,0.0,0.0,0.0,0.0,73.0,37.0,269.0,1529.0,379.0,252.0
Linn-410433,281.0,0.0,29.0,13.0,0.0,156.0,73.0,115.0,0.0,0.0,0.0,0.0,0.0,13.0,21.0,49.0,479.0,83.0,188.0
Linn-4104330,30.0,0.0,4.0,2.0,0.0,133.0,12.0,8.0,0.0,0.0,0.0,0.0,0.0,7.0,4.0,46.0,169.0,57.0,20.0
Linn-4104331,106.0,0.0,17.0,12.0,0.0,360.0,28.0,41.0,0.0,0.0,0.0,0.0,0.0,28.0,12.0,102.0,495.0,142.0,69.0
Linn-4104332,113.0,0.0,33.0,8.0,0.0,370.0,33.0,55.0,0.0,0.0,0.0,0.0,0.0,53.0,23.0,111.0,524.0,187.0,88.0
Linn-4104333,7.0,0.0,2.0,1.0,0.0,24.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6.0,34.0,8.0,5.0
Linn-4104334,82.0,0.0,9.0,7.0,0.0,195.0,22.0,19.0,0.0,0.0,0.0,0.0,0.0,13.0,13.0,63.0,293.0,89.0,41.0
