state,county,rep_general_total,dem_general_total,rep_primary_total,dem_primary_total,rep_primary_share,rep_general_share,primary_total_votes,general_total_votes
GA,Rockdale,16921.0,20526.0,8889.0,12267.0,0.42016449234259784,0.45186530296151894,21156.0,37447.0
GA,Schley,1252.0,479.0,446.0,348.0,0.5617128463476071,0.7232813402657423,794.0,1731.0
GA,Screven,3423.0,3024.0,1393.0,1728.0,0.44633130406920857,0.5309446254071661,3121.0,6447.0
GA,Seminole,2315.0,1660.0,884.0,961.0,0.47913279132791325,0.5823899371069182,1845.0,3975.0
GA,Spalding,14885.0,10141.0,6993.0,5829.0,0.5453907346747777,0.5947814273155918,12822.0,25026.0
GA,Stephens,7689.0,2705.0,3113.0,2039.0,0.6042313664596274,0.7397537040600346,5152.0,10394.0
GA,Stewart,783.0,1305.0,268.0,731.0,0.2682682682682683,0.375,999.0,2088.0
GA,Sumter,5717.0,6454.0,2326.0,3593.0,0.3929717857746241,0.4697231123161614,5919.0,12171.0
GA,Talbot,1301.0,2369.0,498.0,1223.0,0.28936664729808254,0.3544959128065395,1721.0,3670.0
GA,Taliaferro,339.0,643.0,128.0,372.0,0.256,0.34521384928716903,500.0,982.0
GA,Tattnall,4730.0,1932.0,1739.0,1268.0,0.578317259727303,0.709996997898529,3007.0,6662.0
GA,Taylor,2021.0,1536.0,799.0,922.0,0.4642649622312609,0.5681754287320776,1721.0,3557.0
GA,Telfair,2486.0,1862.0,768.0,1084.0,0.4146868250539957,0.5717571297148114,1852.0,4348.0
GA,Terrell,1890.0,2501.0,763.0,1301.0,0.3696705426356589,0.4304258710999772,2064.0,4391.0
GA,Thomas,10642.0,7720.0,4711.0,3861.0,0.5495800279981334,0.5795664960243982,8572.0,18362.0
GA,Tift,9431.0,4749.0,3794.0,2583.0,0.5949506037321625,0.6650916784203103,6377.0,14180.0
GA,Toombs,6658.0,2964.0,2682.0,1714.0,0.6101000909918107,0.6919559343171898,4396.0,9622.0
GA,Towns,4292.0,1391.0,2046.0,1119.0,0.6464454976303318,0.7552349111384832,3165.0,5683.0
GA,Treutlen,1826.0,1112.0,587.0,703.0,0.45503875968992247,0.6215112321307011,1290.0,2938.0
GA,Troup,15391.0,10455.0,6971.0,5773.0,0.5470025109855619,0.5954886636229978,12744.0,25846.0
GA,Turner,2096.0,1427.0,708.0,805.0,0.4679444811632518,0.5949474879364178,1513.0,3523.0
GA,Twiggs,2087.0,2402.0,902.0,1638.0,0.3551181102362205,0.4649142347961684,2540.0,4489.0
GA,Union,8013.0,2486.0,4222.0,2483.0,0.6296793437733035,0.763215544337556,6705.0,10499.0
GA,Upson,7291.0,4061.0,3000.0,2657.0,0.530316422131872,0.6422656800563777,5657.0,11352.0
GA,Walker,17110.0,6095.0,6605.0,4695.0,0.5845132743362832,0.7373410902822668,11300.0,23205.0
GA,Walton,27253.0,8469.0,13146.0,5228.0,0.7154675084358333,0.7629192094507586,18374.0,35722.0
